KU	d8:84:66:13:6b:60	-89
KU	d8:84:66:11:48:79	-49
KU	d8:84:66:13:6b:69	-81
000000
KU	d8:84:66:13:6b:60	-89
KU	d8:84:66:11:48:79	-49
KU	d8:84:66:13:6b:69	-81
000000
KU	d8:84:66:13:6b:60	-89
KU	d8:84:66:11:48:79	-49
KU	d8:84:66:13:6b:69	-81
000000
KU	d8:84:66:13:6b:60	-89
KU	d8:84:66:11:48:79	-49
KU	d8:84:66:13:6b:69	-81
000000
KU	d8:84:66:13:6b:60	-89
KU	d8:84:66:11:48:79	-49
KU	d8:84:66:13:6b:69	-81
000000
KU	d8:84:66:13:6b:60	-89
KU	d8:84:66:11:48:79	-49
KU	d8:84:66:13:6b:69	-81
000000
KU	d8:84:66:13:6b:60	-89
KU	d8:84:66:11:48:79	-49
GUEST	d8:84:66:10:a3:08	-90
000000
KU	d8:84:66:13:6b:60	-89
KU	d8:84:66:11:48:79	-49
GUEST	d8:84:66:10:a3:08	-90
000000
KU	d8:84:66:13:6b:60	-89
KU	d8:84:66:11:48:79	-49
GUEST	d8:84:66:10:a3:08	-90
000000
eduroam	d8:84:66:13:6f:91	-88
linksys	00:23:69:ec:ea:7a	-83
GUEST	d8:84:66:71:27:18	-66
000000
eduroam	d8:84:66:13:6f:91	-88
linksys	00:23:69:ec:ea:7a	-83
GUEST	d8:84:66:71:27:18	-66
000000
eduroam	d8:84:66:13:6f:91	-88
GUEST	d8:84:66:71:27:18	-66
KU	d8:84:66:71:27:19	-66
000000
GUEST	d8:84:66:71:27:18	-66
KU	d8:84:66:71:27:19	-66
eduroam	d8:84:66:13:6b:61	-89
000000
GUEST	d8:84:66:71:27:18	-66
KU	d8:84:66:71:27:19	-66
eduroam	d8:84:66:13:6b:61	-89
000000
GUEST	d8:84:66:71:27:18	-66
KU	d8:84:66:71:27:19	-66
eduroam	d8:84:66:13:6b:61	-89
000000
GUEST	d8:84:66:71:27:18	-66
KU	d8:84:66:71:27:19	-66
eduroam	d8:84:66:13:6b:61	-89
000000
eduroam	d8:84:66:13:6b:61	-89
KU	d8:84:66:11:4a:19	-84
linksys	00:23:69:ec:ea:7a	-86
000000
eduroam	d8:84:66:13:6b:61	-89
KU	d8:84:66:11:4a:19	-84
linksys	00:23:69:ec:ea:7a	-86
eduroam	d8:84:66:13:6f:91	-84
KU	d8:84:66:47:f8:89	-86
KU	d8:84:66:13:6f:99	-80
000000
eduroam	d8:84:66:13:6b:61	-89
KU	d8:84:66:11:4a:19	-84
linksys	00:23:69:ec:ea:7a	-86
KU	d8:84:66:47:f8:89	-86
GUEST	d8:84:66:71:3a:38	-85
KU	d8:84:66:11:43:20	-88
000000
KU	d8:84:66:11:4a:19	-84
